Kategorie;Laenge;Steigung;PoAnz;Rang;Name;Jahrgang;Ort;Club;Zeit
MA;1.4;60;8;1;Riccardo Rancan;96;Uster;OLG Pfäffikon;5:07
MA;1.4;60;8;2;Tino Polsini;99;Gelterkinden;OLV Baselland;5:09
MA;1.4;60;8;3;Timo Suter;98;Baden-Rütihof;Cordoba OLC;5:11
MA;1.4;60;8;4;Tobia Pezzati;96;Sagno;SCOM Mendrisio;5:14
MA;1.4;60;8;5;Reto Egger;99;Rafz;OLK Rafzerfeld;5:19
MA;1.4;60;8;6;Daniel Hubmann;83;Bremgarten b. Bern;OL Regio Wil;5:20
MB;1.4;60;8;1;Joey Hadorn;97;Fahrni b. Thun;ol norska;5:17
MB;1.4;60;8;2;Pascal Schärer;03;Mönchaltorf;OLG Pfäffikon;5:18
MB;1.4;60;8;3;Fabian Aebersold;00;Brügg BE;ol.biel.seeland;5:20
MB;1.4;60;8;4;Manuele Ren;01;Ponte Capriasca;ASCO Lugano;5:22
MB;1.4;60;8;5;Florian Freuler;02;Glarus;thurgorienta / Glarner OLG;5:25
MB;1.4;60;8;6;Benjamin Wey;03;Zürich;OLG Zürich;5:45
MC;1.4;60;8;1;Florian Attinger;97;Adliswil;OLG Chur/OL Zimmerberg;5:09
MC;1.4;60;8;2;Dominic Müller;03;Thun;OLG Thun;5:22
MC;1.4;60;8;3;Timo Tantanini;01;Rafz;OLC Kapreolo / OLK Rafzerfeld;5:23
MC;1.4;60;8;4;Marius Kaiser;99;Starrkirch-Wil;OL Regio Olten;5:25
MC;1.4;60;8;5;Tobias Sterchi;02;Niederhünigen;ol norska;5:26
MC;1.4;60;8;6;Janis Hutzli;02;Wil SG;OL Regio Wil;5:27
WA;1.4;60;8;1;Simona Aebersold;98;Brügg BE;ol.biel.seeland;5:53
WA;1.4;60;8;2;Natalia Gemperle;90;Hallwil;OLK Argus;5:56
WA;1.4;60;8;3;Paula Gross;96;Niederurnen;OL Zimmerberg;6:06
WA;1.4;60;8;4;Lilly Graber;02;Biberstein;OLG Suhr;6:07
WA;1.4;60;8;5;Katrin Müller;97;Zürich;OLG Rymenzburg;6:35
WA;1.4;60;8;;Martina Ruch;94;Eggiwil;OLG Skandia;P.fehl.
WB;1.4;60;8;1;Marion Aebi;93;Liebefeld;OLG Herzogenbuchsee/IL Tyrving;6:21
WB;1.4;60;8;2;Deborah Stadler;97;Seedorf UR;OLG KTV Altdorf;6:23
WB;1.4;60;8;3;Katja Brütsch;00;Uhwiesen;OLG Schaffhausen;6:27
WB;1.4;60;8;4;Sofie Bachmann;97;Reigoldswil;OLV Baselland;6:29
WB;1.4;60;8;5;Eline Gemperle;00;Boniswil;OLK Argus;6:32
WB;1.4;60;8;;Sanna Hotz;02;Schafisheim;OLK Argus;disqu.
WC;1.4;60;8;1;Inès Berger;03;Cormondrèche;ANCO;6:07
WC;1.4;60;8;2;Siana Senn;01;Stäfa;O-Motion;6:09
WC;1.4;60;8;3;Corina Hüni;01;Seftigen;OLG Thun;6:19
WC;1.4;60;8;4;Nina Hubmann;03;Märwil;OL Regio Wil;6:48
WC;1.4;60;8;5;Alina Niggli;03;Cossonay-Ville;ANCO;6:49
WC;1.4;60;8;6;Kim Hadorn;99;Fahrni b. Thun;ol norska;7:04
WD;1.4;60;8;1;Annick Meister;02;Uppsala;OLG Dachsen;6:35
WD;1.4;60;8;2;Nina Probst;02;Belp;OLG Bern / ol norska;6:44
WD;1.4;60;8;2;Anja Probst;00;Belp;OLG Bern / ol norska;6:44
WD;1.4;60;8;4;Hanna Wey;01;Zürich;OLG Zürich;6:51
MI;1.4;60;8;1;Nick Gebert;97;Zofingen;OLK Wiggertal;5:28
MI;1.4;60;8;2;Jannis Schönleber;96;Lupsingen;OLV Baselland/Kakowa;5:31
MI;1.4;60;8;3;Tove Alexandersson;92;Sweden;Stora Tuna OK;5:39
MI;1.4;60;8;;Andri Seiz;03;Füllinsdorf;OLV Baselland;P.fehl.
