Kategorie;Laenge;Steigung;PoAnz;Rang;Name;Jahrgang;Ort;Club;Zeit
M;2.3;40;15;1;Tino Polsini;99;Gelterkinden;OLV Baselland;8:20
M;2.3;40;15;2;Timo Suter;98;Baden-Rütihof;Cordoba OLC;8:23
M;2.3;40;15;3;Daniel Hubmann;83;Bremgarten b. Bern;OL Regio Wil;8:39
M;2.3;40;15;4;Tobia Pezzati;96;Sagno;SCOM Mendrisio;8:40
M;2.3;40;15;5;Riccardo Rancan;96;Uster;OLG Pfäffikon;8:41
M;2.3;40;15;6;Reto Egger;99;Rafz;OLK Rafzerfeld;8:42
M;2.3;40;15;7;Pascal Schärer;03;Mönchaltorf;OLG Pfäffikon;8:45
M;2.3;40;15;8;Benjamin Wey;03;Zürich;OLG Zürich;8:46
M;2.3;40;15;9;Fabian Aebersold;00;Brügg BE;ol.biel.seeland;8:53
M;2.3;40;15;10;Manuele Ren;01;Ponte Capriasca;ASCO Lugano;8:54
M;2.3;40;15;11;Joey Hadorn;97;Fahrni b. Thun;ol norska;8:56
M;2.3;40;15;11;Florian Freuler;02;Glarus;thurgorienta / Glarner OLG;8:56
M;2.3;40;15;13;Jannis Schönleber;96;Lupsingen;OLV Baselland/Kakowa;9:03
M;2.3;40;15;14;Janis Hutzli;02;Wil SG;OL Regio Wil;9:08
M;2.3;40;15;15;Dominic Müller;03;Thun;OLG Thun;9:17
M;2.3;40;15;16;Florian Attinger;97;Adliswil;OLG Chur/OL Zimmerberg;9:18
M;2.3;40;15;17;Timo Tantanini;01;Rafz;OLC Kapreolo / OLK Rafzerfeld;9:21
M;2.3;40;15;18;Marius Kaiser;99;Starrkirch-Wil;OL Regio Olten;9:24
M;2.3;40;15;19;Tobias Sterchi;02;Niederhünigen;ol norska;9:25
M;2.3;40;15;20;Nick Gebert;97;Zofingen;OLK Wiggertal;9:38
M;2.3;40;15;21;Andri Seiz;03;Füllinsdorf;OLV Baselland;10:27
W;1.9;40;14;1;Tove Alexandersson;92;Sweden;Stora Tuna OK;8:43
W;1.9;40;14;2;Natalia Gemperle;90;Hallwil;OLK Argus;8:45
W;1.9;40;14;3;Simona Aebersold;98;Brügg BE;ol.biel.seeland;8:53
W;1.9;40;14;4;Lilly Graber;02;Biberstein;OLG Suhr;8:54
W;1.9;40;14;5;Katrin Müller;97;Zürich;OLG Rymenzburg;8:59
W;1.9;40;14;6;Paula Gross;96;Niederurnen;OL Zimmerberg;9:01
W;1.9;40;14;7;Martina Ruch;94;Eggiwil;OLG Skandia;9:02
W;1.9;40;14;8;Katja Brütsch;00;Uhwiesen;OLG Schaffhausen;9:03
W;1.9;40;14;9;Deborah Stadler;97;Seedorf UR;OLG KTV Altdorf;9:13
W;1.9;40;14;9;Sanna Hotz;02;Schafisheim;OLK Argus;9:13
W;1.9;40;14;11;Sofie Bachmann;97;Reigoldswil;OLV Baselland;9:15
W;1.9;40;14;12;Eline Gemperle;00;Boniswil;OLK Argus;9:17
W;1.9;40;14;12;Marion Aebi;93;Liebefeld;OLG Herzogenbuchsee/IL Tyrving;9:17
W;1.9;40;14;14;Corina Hüni;01;Seftigen;OLG Thun;9:25
W;1.9;40;14;15;Nina Hubmann;03;Märwil;OL Regio Wil;9:32
W;1.9;40;14;16;Alina Niggli;03;Cossonay-Ville;ANCO;9:33
W;1.9;40;14;16;Siana Senn;01;Stäfa;O-Motion;9:33
W;1.9;40;14;18;Inès Berger;03;Cormondrèche;ANCO;9:40
W;1.9;40;14;19;Kim Hadorn;99;Fahrni b. Thun;ol norska;9:45
W;1.9;40;14;19;Anja Probst;00;Belp;OLG Bern / ol norska;9:45
W;1.9;40;14;21;Annick Meister;02;Uppsala;OLG Dachsen;9:48
W;1.9;40;14;22;Hanna Wey;01;Zürich;OLG Zürich;9:59
W;1.9;40;14;23;Nina Probst;02;Belp;OLG Bern / ol norska;10:26
