Kategorie;Laenge;Steigung;PoAnz;Rang;Name;Jg;Name2;Jg2;Name3;Jg3;Ort;Club;Zeit
H10;3.4;155;15;1;Lars Kehrli;14;Jonas Heiner;14;Tim Mumprecht;14;;OLG Dachsen / OLG Pfäffikon / OL Zimmerb;25:57
H10;3.4;155;15;2;Matti Bächi;14;Theo Manser;15;Tobias Maier;14;;thurgorienta / OLG SGA / OL Regio Wil;31:54
H10;3.4;155;15;3;Niculin Winterberger;15;Lui Rubin;14;Lino Mühlethaler;15;;OL Regio Burgdorf;32:58
H10;3.4;155;15;4;Mattis Wegmüller;14;Robin Gerber;14;Aimon Schwarz;15;;OLG Thun / OLG Hondrich;34:26
H10;3.4;155;15;5;Laurent Müller;15;Minna Merz;16;Elia Baumgartner;16;;OLG Rymenzburg;40:53
H10;3.4;155;15;6;Adrian Althaus;15;Flurin Althaus;16;Maurus Blaser;17;;OL Zimmerberg / Hausen;42:47
H10;3.4;155;15;7;Noah Sager;15;Matti Ott;16;Timo Ott;14;;OLK Argus 2;46:05
H10;3.4;155;15;8;Matthias Hinder;15;Fabian Lattmann;14;David Pfarrwaller;16;;OLC Winterthur;47:13
H10;3.4;155;15;9;Julian Widler;15;Ubada Ibrahim Musa Mohamme;15;Ilay Meyer;15;;OLG Pfäffikon;1:06:13
H10;3.4;155;15;;Collin Gyssler;14;Tian Roth;15;Elias Eichenberger;15;;OLK Argus 1;P.fehl.
H12;4.8;165;16;1;Maël Zettel;12;Flurin Schwarz;12;Mael Anderegg;14;;OLG Thun / OLG Hondrich;35:47
H12;4.8;165;16;2;Jonin Burkhart;12;Simeon Sterren;12;Tim Wey;12;;OL Regio Wil;35:57
H12;4.8;165;16;3;Fabian Good;12;Jari Bächi;13;Jonathan Latscha;12;;thurgorienta;36:19
H12;4.8;165;16;4;Levi Neumann;12;Jonas Ankli;12;Christian Dorn;13;;OLG Basel;38:02
H12;4.8;165;16;5;Mats Gmür;13;Dario Strugalla;13;Tim Haefeli;16;;OL Regio Olten;39:18
H12;4.8;165;16;6;Matti Lauenstein;13;Matis Zwahlen;12;Diego Velasco Mulard;12;;ANCO;39:43
H12;4.8;165;16;7;Oliver Thoma;13;Samuel Deffner;12;Lukas van Binsbergen;12;;OLK Argus;39:46
H12;4.8;165;16;8;Joshua Hückstädt;12;Florin Praz;12;Curdin Hotz;12;;OL Zimmerberg/FCJ;40:22
H12;4.8;165;16;9;Silas Kehrli;12;Tim Tschopp;12;Cyrill Kuhn;12;;OLG Dachsen/ OLG Pfäffikon;40:34
H12;4.8;165;16;10;Giulien Winterberger;13;Ted Rubin;12;Maurin Wyss;13;;OL Regio Burgdorf;40:38
H12;4.8;165;16;11;Francesco Vannini;12;Olmo Rigamonti;12;Oliver Baumgartner;12;;C.O. Aget Lugano/O-92 Piano di Magadino/;40:49
H12;4.8;165;16;12;Thierry Schulthess;12;Matthias Tobler;12;Noel Mohn;12;;OLC Kapreolo;42:36
H12;4.8;165;16;13;Moritz Bürgi;13;Florian Hinder;13;Maurice Keller;12;;OLC Winterthur;43:19
H12;4.8;165;16;14;Jonathan Rossier;12;David Rossier;14;Caitlyn Rossier;12;;CA Rosé;43:50
H12;4.8;165;16;15;Riccardo Zambarda;13;Elio Pollock;13;Nicola Bernasconi;13;;C.O. Aget Lugano/GOV Vallemaggia/Unitas;47:50
H12;4.8;165;16;16;Eliott Hirschy;13;Matis Rusillon;13;Loïc Bron;13;;ANCO;57:34
H12;4.8;165;16;17;Julian Smith;13;Matteo Bosshard;15;Jorin von Känel;14;;OLK Rafzerfeld;1:00:15
H12;4.8;165;16;18;Valentin Kühne;13;Fabian Knecht;13;Elias Holenstein;12;;OL Zimmerberg;1:00:35
H12;4.8;165;16;19;Jonas Christen;12;Simon Christen;14;Janosch Christen;14;;OLG Nidwalden+Obwalden 6;1:03:16
H12;4.8;165;16;20;Ueli Furrer;12;Niels Verbiest;12;Isabella Di Mercurio;12;;OLV Luzern;1:08:31
H12;4.8;165;16;21;Eric Müller;12;Gian-Luca Baumann;12;Jouri Hotz;12;;OL Amriswil;1:10:09
H12;4.8;165;16;22;Fabio Caluori;13;Ben Ermel;13;Colin Meier;14;;OLK Argus;1:17:42
H12;4.8;165;16;;Dario Lehmann;13;Levi Imboden;13;Joel Stuber;13;;Bussola ok;Po.fal.
H14;6.5;315;23;1;Lino Meier;10;Andrin Wegmüller;10;Laurin Zettel;10;;OLG Thun;50:54
H14;6.5;315;23;2;Arthur Jaquet;10;Matthieu Hirschy;11;Erik Lauenstein;11;;ANCO;52:33
H14;6.5;315;23;3;Luc Frei;10;Ilian Flühmann;10;Dimitri Küenzi;11;;OLG Dachsen/OLG Pfäffikon/OL Zimmerberg;52:34
H14;6.5;315;23;4;Samuel Bieri;11;Laurin Honegger;11;Raffael Sager;10;;OLK Argus / Cordoba OLC / OLG Suhr;53:19
H14;6.5;315;23;5;Janik Good;10;Yannis Bähler;10;Andri Burkhart;10;;thurgorienta / OL Regio Wil;54:37
H14;6.5;315;23;6;Nils Heilmeier;10;Linus Roth;10;Jakob Wälti;11;;OLC Winterthur;57:47
H14;6.5;315;23;7;Timo Treier;10;Nils Okle;10;Henry Wymann;11;;bussola ok / Cordoba OLC / OLK Wiggertal;58:17
H14;6.5;315;23;8;Maurice Schulthess;10;Marc Salvisberg;10;Flurin Anhorn;11;;OLC Kapreolo;58:35
H14;6.5;315;23;9;Laurin Harlacher;11;Sophie Neumann;10;Nicolas Dorn;10;;OLG Basel ?;1:02:16
H14;6.5;315;23;10;Felix Priemer;10;Janosch Küenzi;11;Marc Wyss;11;;OL Zimmerberg / OLG Zürich;1:03:38
H14;6.5;315;23;11;Florian Steiner;11;Robin Nadler;11;Dario van Binsbergen;10;;OLG Goldau / Zug;1:03:54
H14;6.5;315;23;12;Jon Gürtler;12;Fynn Zwiker;11;Leo Bürgi;10;;OLG Pfäffikon / OLC Winterthur;1:07:24
H14;6.5;315;23;13;Dario Vannini;10;Iacopo Zambarda;10;Sebastiano Amaro;11;;C.O. Aget Lugano/Asco Lugano;1:07:52
H14;6.5;315;23;14;Nino Baur;10;Elia Häusermann;11;Yann Willi;10;;OLG Suhr;1:08:20
H14;6.5;315;23;15;Linus Wymann;10;Dmitrii Menshikov;11;Marco von Ah;10;;OLG Nidwalden+Obwalden 5;1:14:54
H14;6.5;315;23;16;Ramon Frey;11;Josua Sager;11;Emanuel Ekstedt;11;;Wiggertal  Argus;1:17:54
H14;6.5;315;23;17;Samuel Christener;10;Linus Gilgien;11;Simon Strasser;10;;OLG Thun;1:20:00
H14;6.5;315;23;18;Miro Wagner;10;Lino Wegmüller;11;Benjamin Christener;13;;OLG Thun / OL Regio Olten;1:21:29
H14;6.5;315;23;19;Silvan Flückiger;12;Mika Hugi;12;Nino Hugi;11;;Bucheggberger OL/OLG Oberwil;1:32:13
H14;6.5;315;23;;Pietro Del Don;10;Maila Del Don;12;Clara Gonzato;12;;ASCO Lugano;P.fehl.
H16;8.0;435;21;1;Lukas Matthäus;08;Taavi Caboussat;09;Janis Gwerder;08;;OLG Bern;1:00:45
H16;8.0;435;21;2;Florian Frank;09;Loris Jäger;09;Jorin Mohn;09;;OLC Kapreolo;1:04:53
H16;8.0;435;21;3;Andreas Neuenschwander;08;Janik Burki;08;Julian Schmied;09;;OL Regio Burgdorf/OLG Biberist/ OLG Hutt;1:05:03
H16;8.0;435;21;4;Linus Pusterla;10;Lukas Studer;09;Levin Hürlimann;09;;OLG Basel/OLV Baselland;1:08:25
H16;8.0;435;21;5;Simon van Binsbergen;08;Aidan Mckenna;08;Nicolas Dinner;08;;OLV Zug  OLG Nidwalden+Obwalden;1:10:06
H16;8.0;435;21;6;Alexej Schweizer;09;Bastian Schmid;08;Jannis Riediker;08;;OL Regio Wil;1:11:42
H16;8.0;435;21;7;Tobias Sebastian Steffen;09;Silas Lützelschwab;08;Bernhard Bieri;09;;OL NWK Aargau;1:13:12
H16;8.0;435;21;8;Manuel Gasser;08;Benjamin Klieber;08;Maxim Bertschi;09;;OL Zimmerberg / OLG Wiggertal;1:13:16
H16;8.0;435;21;9;Federico Bonini;09;Giulio Chiodoni;09;Tobia Turrini;08;;ASCO Lugano 2;1:18:34
H16;8.0;435;21;10;Jules Hamel;08;Romain Hediger;09;Noah Haussener;09;;ANCO 1;1:20:02
H16;8.0;435;21;11;Pierre Geiges;09;Rémi Geiges;11;Janis Tiemann;09;;OLG Stäfa;1:22:08
H16;8.0;435;21;12;Andri Aebi;09;Gian Venzin;09;Fabian Gisler;09;;OLG Chur / OLG KTV ALtdorf;1:25:20
H16;8.0;435;21;13;Arthur Hirschy;08;Nicolas Wild;08;Andrea Jaquet;09;;ANCO 3;1:35:48
H16;8.0;435;21;14;Jan Andrin Baumann;10;Silas Schuler;09;Elias Bieri;11;;OLV Luzern;1:52:08
H16;8.0;435;21;;Félix Jeanrichard;08;Aurélien Senn;08;Rémi Renaud;08;;ANCO 2;n.kl.
H18;9.4;455;22;1;Flurin Rettich;07;Gratian Böhi;06;Aurelius Kasper;06;;OL Zimmerberg;1:02:45
H18;9.4;455;22;2;Diego Lavezzo;06;Enea Rossi;06;Liam Malnati;07;;SCOM Mendrisio / CO AGET Lugano;1:05:41
H18;9.4;455;22;3;Joschka Bertschi;06;Dario Dauwalder;06;Timon Zaugg;07;;OLK Wiggertal/ Cordoba OC/ OL Regio Burg;1:08:06
H18;9.4;455;22;4;Moritz Ebert;06;Nicolas Mohn;07;Loïc Fäh Sokoloff;08;;OLC Kapreolo;1:08:25
H18;9.4;455;22;5;Gabriel Dorn;07;Finn Alabor;06;Theo Böhm;07;;OLG Basel / OLG Kakowa / OLV Baselland;1:09:49
H18;9.4;455;22;6;Jonas Ludwig;07;Jonas Niedermann;07;Janis Kuhn;07;;OLG Stäfa / OL Regio Wil;1:10:12
H18;9.4;455;22;7;Mike Rechberger;07;Lio Weber;08;Lars Friedli;08;;thurgorienta / OL Amriswil;1:21:42
H18;9.4;455;22;8;Nathan Bianchi;07;Marco Tricarico;07;Rocco Schwank;07;;ASCO Lugano;1:32:08
HE;14.6;780;35;1;Janis Hutzli;02;Martin Hubmann;89;Daniel Hubmann;83;;OL Regio Wil;1:29:19
HE;14.6;780;35;2;Matthias Kyburz;90;Andreas Kyburz;88;Thomas Kyburz;86;;Olk Fricktal;1:30:55
HE;14.6;780;35;3;Florian Moser;98;Ueli Werren;94;Pascal Schmutz;04;;ol norska;1:33:38
HE;14.6;780;35;4;Florian Howald;91;Ivar Lundanes;91;Severin Howald;89;;OLG Herzogenbuchsee;1:34:02
HE;14.6;780;35;5;Timo Tantanini;01;Corino Wyder;00;Tobias Schulthess;03;;OLC Kapreolo 1;1:37:07
HE;14.6;780;35;6;Philipp von Arx;92;Nick Gebert;97;Marius Kaiser;99;;OL Regio Olten / OLK Wiggertal;1:37:46
HE;14.6;780;35;7;Elias Schafer;04;Florian Nagel;04;Tobias Nagel;04;;OLG Murten / OLC Omström Sense;1:38:03
HE;14.6;780;35;8;Timo Suter;98;Jari Suter;02;Simon Humbel;04;;Cordoba OLC;1:38:12
HE;14.6;780;35;9;Pascal Buchs;97;Marc Lauenstein;80;Jan Lauenstein;04;;ANCO 1;1:39:59
HE;14.6;780;35;10;Marius Peter;04;Sven Hellmüller;95;Miron Rulka;01;;White Tigers / ol.biel.seeland;1:43:17
HE;14.6;780;35;11;Lukas Meier;95;Roman Egli;99;Thomas Curiger;96;;OLC Kapreolo 2;1:45:22
