Kategorie;Laenge;Steigung;PoAnz;Rang;Name;Jahrgang;Ort;Club;Zeit
HE;1.1;0;13;1;Tino Polsini;99;Gelterkinden;OLV Baselland;5:26
HE;1.1;0;13;2;Riccardo Rancan;96;Uster;OLG Pfäffikon;5:27
HE;1.1;0;13;3;Elia Ren;04;Ponte Capriasca;ASCO Lugano;5:32
HE;1.1;0;13;4;Dominic Müller;03;Thun;OLG Thun;5:33
HE;1.1;0;13;5;Fabian Aebersold;00;Brügg BE;ol.biel.seeland;5:34
HE;1.1;0;13;5;Joschi Schmid;04;Rossrüti;OL Regio Wil;5:34
HE;1.1;0;13;7;Reto Egger;99;Rafz;OLK Rafzerfeld;5:35
HE;1.1;0;13;8;Ueli Werren;94;Riedstätt;ol norska / OLG Bern;5:39
HE;1.1;0;13;9;David Baumberger;05;Zollikon;OLG Zürich;5:40
HE;1.1;0;13;10;Daniel Hubmann;83;Bremgarten b. Bern;OL Regio Wil;7:19
DE;1.1;0;13;1;Seline Sannwald;05;Bubikon;OLG Stäfa;6:27
DE;1.1;0;13;2;Paula Gross;96;Niederurnen;OL Zimmerberg;6:28
DE;1.1;0;13;3;Marion Aebi;93;Liebefeld;OLG Herzogenbuchsee/IL Tyrving;6:30
DE;1.1;0;13;3;Inès Berger;03;Cormondrèche;ANCO;6:30
DE;1.1;0;13;5;Corina Hüni;01;Seftigen;OLG Thun;6:35
DE;1.1;0;13;6;Sanna Hotz;02;Schafisheim;OLK Argus;6:36
DE;1.1;0;13;7;Alina Niggli;03;Cossonay-Ville;ANCO;6:39
DE;1.1;0;13;7;Anna Gasser;04;Esslingen;O-Motion;6:39
DE;1.1;0;13;9;Kati Hotz;05;Schafisheim;OLK Argus;7:36
