Kategorie;Laenge;Steigung;PoAnz;Rang;Name;Jahrgang;Ort;Club;Zeit
Classic;1.8;0;34;1;Renato Ris;;;;13:39
Classic;1.8;0;34;2;Andrin Zeller;;;;15:22
Classic;1.8;0;34;3;Sarah und Noe Schwarz;;;;15:58
Classic;1.8;0;34;4;Sophie Gerber;;;;18:02
Classic;1.8;0;34;5;Lina Suwald Livia Sax;;;;18:19
Classic;1.8;0;34;6;Lynn Muntwyler Laura Keusch;;;;20:11
Classic;1.8;0;34;7;Yves Weibel Aila Weibel;;;;22:37
Classic;1.8;0;34;8;Tara Buzzi Helen Kreul;;;;26:29
Classic;1.8;0;34;9;Daniela Pflanzl Paula Pflanzl;;;;27:50
Classic;1.8;0;34;10;Ben Müller Beat Müller;;;;29:34
Classic;1.8;0;34;11;Nilas Biland;;;;38:51
Classic;1.8;0;34;;Dan Hunziker;;;;Po.f.
Classic;1.8;0;34;;Michael Christ;;;;Po.f.
Classic;1.8;0;34;;Felix Pflanzl Mathilda Pflanzl;;;;Po.f.
Classic;1.8;0;34;;Bea Beat Zeller;;;;Po.f.
Classic;1.8;0;34;;Alyssa Steger Ivan;;;;Po.f.
Classic;1.8;0;34;;Metin Gasser;;;;Po.f.
Classic;1.8;0;34;;Elio Jenni Robi Katja Jenni;;;;Po.f.
Classic;1.8;0;34;;Christian Jaron Biland;;;;Po.f.
Advanced;3.1;120;27;1;Ricardo Schaniel;;;;20:19
Advanced;3.1;120;27;2;Beatrice Aeschlimann;;;;24:48
Advanced;3.1;120;27;3;Martin Gantenbein;;;;25:58
Advanced;3.1;120;27;4;Renato Ris;;;;27:01
Advanced;3.1;120;27;5;Arno Schneider;;;;27:30
Advanced;3.1;120;27;6;Laurin Honegger;;;;27:36
Advanced;3.1;120;27;7;Evelyn Schaniel;;;;28:21
Advanced;3.1;120;27;8;Lukas Krayer Honegger;;;;28:56
Advanced;3.1;120;27;9;Andrin Zeller;;;;29:27
Advanced;3.1;120;27;10;Gilbert Projer;;;;31:33
Advanced;3.1;120;27;10;Vasco Heimgartner;;;;31:33
Advanced;3.1;120;27;12;Pia Schaffner;;;;34:53
Advanced;3.1;120;27;13;Julia Stöckli;;;;43:37
Advanced;3.1;120;27;14;Susanne Lüscher;;;;47:44
Advanced;3.1;120;27;;Dario .Lehmann;;;;Po.f.
Advanced;3.1;120;27;;Manuel Sax;;;;Po.f.
Advanced;3.1;120;27;;Ben und Luca Vorburger;;;;Po.f.
Advanced;3.1;120;27;;Rolf Saxer;;;;Po.f.
Short;2.2;95;18;1;Sarah Schwarz;;;;18:38
Short;2.2;95;18;2;Noé Hoekstra;;;;23:27
Short;2.2;95;18;3;Monika Lehmann;;;;28:34
Short;2.2;95;18;4;Timo Jenni;;;;28:47
Short;2.2;95;18;5;Luca Lehmann;;;;32:43
Short;2.2;95;18;6;Jaron Häfliger;;;;33:02
Short;2.2;95;18;7;Lasse Pedersen;;;;41:26
Short;2.2;95;18;8;Benedikt Reiszek;;;;49:33
Short;2.2;95;18;;Erik Simkovics;;;;Po.f.
