Kategorie;Laenge;Steigung;PoAnz;Rang;Name;Jahrgang;Ort;Club;Zeit
H14;10.3;285;12;1;Riccardo Zambarda;13;Pregassona;C.O. Aget Lugano;1:13:19
H17;10.4;415;8;1;Jann Wittwer;08;Büren an der Aare;OLG Oberwil;1:10:01
H17;10.4;415;8;2;Julien Hintze;08;Marly;OLC Omström Sense;1:24:42
H17;10.4;415;8;3;Ulysse REICH;11;Westhalten;COColmar;2:31:35
H17;10.4;415;8;;Iacopo Zambarda;10;Pregassona;C.O. Aget Lugano;aufgeg.
HAL;18.3;1100;11;1;Adrian Jäggi;98;Zollikofen;OLG Biberist SO;1:50:33
HAL;18.3;1100;11;2;Noah Rieder;01;Bern;ol.biel.seeland;1:56:47
HAL;18.3;1100;11;3;Beat Schaffner;73;Innerberg;OLG Bern;2:11:08
HAL;18.3;1100;11;4;Silas Hotz;99;Schafisheim;OLK Argus;2:13:38
HAL;18.3;1100;11;;Flurin Schnyder;03;Bern;OLC Omström Sense;Po.f.
HAK;10.4;415;8;1;Leon Rohweder;01;Egg b. Zürich;Ski-O Swiss;1:38:18
HAK;10.4;415;8;2;Andrea Zambarda;69;Pregassona;C.O. Aget Lugano;2:06:43
H40;17.3;850;11;1;Andreas Herzig;82;Oberdorf SO;Bike-O NWS;1:57:13
H40;17.3;850;11;2;Sebastien GUERARD;74;DIJON;ABCO 2101BF;2:39:07
H40;17.3;850;11;3;Alberto Bethaz;84;Aosta;VALLEE DE L'OUCHE ORIENTATION;2:55:17
H40;17.3;850;11;;Christian Spoerry;85;Bürchen;OLG Stäfa;aufgeg.
H40;17.3;850;11;;Bruno Legrand;59;France;VOR 2104;aufgeg.
H45;17.3;850;11;1;Andrea Visioli;72;Italy;Eridano Adventure asd;2:27:38
H45;17.3;850;11;2;Yann REICH;77;Westhalten;COColmar;2:32:18
H45;17.3;850;11;3;Patrick Imboden;71;Urtenen-Schönbühl;OLG Bern;3:01:04
H50;13.8;750;10;1;Patrick Frederix;71;Bettingen;Bike-O-NWS/OLG Basel;3:02:01
H50;13.8;750;10;;ALAIN COMMARET;66;AVALLON (France);CARTO;aufgeg.
H55;13.8;750;10;1;Darrell High;68;Les Paccots;CARE Vevey;2:20:29
H55;13.8;750;10;2;Christian Eglin;70;Ehrendingen;bussola ok;2:28:07
H55;13.8;750;10;3;Bruno GILI;65;La Motte Servolex;Orient'Alp;2:43:57
H55;13.8;750;10;4;Patrick Wirz;67;Mamishaus;Bike-O Nordwestschweiz;2:56:53
H55;13.8;750;10;;Stefan Pfister;68;Triboltingen;thurgorienta;aufgeg.
H55;13.8;750;10;;Jürg Niggli;67;Prémanon / France;O Jura;aufgeg.
H55;13.8;750;10;;Claude Rieder;68;Lyss;ol.biel.seeland;aufgeg.
H60;10.4;415;8;1;René Hitz;63;Oberentfelden;Argus O'Bikers;1:15:15
H60;10.4;415;8;2;Mathias Arpagaus;63;Castagnola;C.O. Aget Lugano;1:22:55
H60;10.4;415;8;3;Frederic Pinsard;64;Thomery;As samois;1:24:56
H60;10.4;415;8;4;André Wirz;63;Bettingen;Bike-O Nordwestschweiz;1:34:12
H60;10.4;415;8;5;Beat Seger;65;Ermatingen;Oehme Bike;1:34:57
H60;10.4;415;8;6;Urs Steffen;62;Winterthur;OLC Winterthur;1:44:51
H60;10.4;415;8;7;Christian GERARD;65;DIJON;ABCO 2101BF;1:49:04
H60;10.4;415;8;;Arne Rohweder;62;Egg b. Zürich;Ski-O Swiss;aufgeg.
H65;10.4;415;8;1;Peter Müller;57;Zug;OLV Zug;1:22:02
H65;10.4;415;8;2;Alain Junod;59;Dombresson;CO Chenau;1:25:31
