Kategorie;Laenge;Steigung;PoAnz;Rang;Name;Jahrgang;Ort;Club;Zeit
HE;5.0;0;12;1;Fabian Aebersold;00;Brügg BE;ol.biel.seeland;14:38
HE;5.0;0;12;1;Riccardo Rancan;96;Uster;OLG Pfäffikon;14:38
HE;5.0;0;12;3;Timo Suter;98;Baden-Rütihof;Cordoba OLC;14:39
HE;5.0;0;12;4;Joey Hadorn;97;Fahrni b. Thun;ol norska;14:52
HE;5.0;0;12;5;Tino Polsini;99;Gelterkinden;OLV Baselland;14:53
HE;5.0;0;12;6;Florian Attinger;97;Adliswil;OLG Chur/OL Zimmerberg;15:06
HE;5.0;0;12;7;Martin Hubmann;89;Eschlikon TG;OL Regio Wil;15:07
HE;5.0;0;12;8;Daniel Hubmann;83;Bremgarten b. Bern;OL Regio Wil;15:11
HE;5.0;0;12;9;Aaro Aho;99;Helsinki;Valkeakosken Haka;15:14
HE;5.0;0;12;10;Dominic Müller;03;Thun;OLG Thun;15:17
HE;5.0;0;12;11;Timo Tantanini;01;Rafz;OLC Kapreolo / OLK Rafzerfeld;15:19
HE;5.0;0;12;12;Joschi Schmid;04;Rossrüti;OL Regio Wil;15:23
HE;5.0;0;12;13;Pascal Schärer;03;Mönchaltorf;OLG Pfäffikon;15:31
HE;5.0;0;12;14;Benjamin Wey;03;Zürich;OLG Zürich;15:47
HE;5.0;0;12;15;Elia Ren;04;Ponte Capriasca;ASCO Lugano;16:01
HE;5.0;0;12;16;Florian Freuler;02;Glarus;thurgorienta / Glarner OLG;16:06
HE;5.0;0;12;17;Janis Hutzli;02;Wil SG;OL Regio Wil;16:49
HE;5.0;0;12;18;Tobias Sterchi;02;Niederhünigen;ol norska;16:50
HE;5.0;0;12;19;Laurin Maurer;04;Pfaffhausen;OLC Kapreolo;17:06
HE;5.0;0;12;20;Tobias Nagel;04;Murten;OLG Murten;17:34
HE;5.0;0;12;21;Florian Nagel;04;Murten;OLG Murten;18:00
DE;5.0;0;12;1;Simona Aebersold;98;Brügg BE;ol.biel.seeland;17:18
DE;5.0;0;12;2;Eline Gemperle;00;Boniswil;OLK Argus;17:21
DE;5.0;0;12;3;Marion Aebi;93;Liebefeld;OLG Herzogenbuchsee/IL Tyrving;17:31
DE;5.0;0;12;4;Paula Gross;96;Niederurnen;OL Zimmerberg;17:33
DE;5.0;0;12;5;Martina Ruch;94;Eggiwil;OLG Skandia;17:47
DE;5.0;0;12;6;Anna Gasser;04;Esslingen;O-Motion;17:48
DE;5.0;0;12;7;Katrin Müller;97;Zürich;OLG Rymenzburg;17:49
DE;5.0;0;12;8;Deborah Stadler;97;Seedorf UR;OLG KTV Altdorf;17:50
DE;5.0;0;12;9;Inès Berger;03;Cormondrèche;ANCO;17:59
DE;5.0;0;12;10;Corina Hüni;01;Seftigen;OLG Thun;18:03
DE;5.0;0;12;11;Lilly Graber;02;Biberstein;OLG Suhr;18:05
DE;5.0;0;12;12;Katja Brütsch;00;Uhwiesen;OLG Schaffhausen;18:06
DE;5.0;0;12;13;Sofie Bachmann;97;Reigoldswil;OLV Baselland;18:09
DE;5.0;0;12;14;Sanna Hotz;02;Schafisheim;OLK Argus;18:50
DE;5.0;0;12;15;Hanna Wey;01;Zürich;OLG Zürich;19:51
DE;5.0;0;12;16;Lisa Hubmann;04;Märwil;OL Regio Wil;20:04
DE;5.0;0;12;;Siana Senn;01;Stäfa;O-Motion;aufgeg.
