Kategorie;Laenge;Steigung;PoAnz;Rang;Name;Jahrgang;Ort;Club;Zeit
A;4.9;200;18;1;Andrin Bieri;;Umeå;OLG Pfäffikon/Umeå OK;39:54
A;4.9;200;18;2;Siro Corsi;;Novaggio;GOLD Savosa;42:52
A;4.9;200;18;3;Sven Aschwanden;;Zürich;OLG Goldau;43:37
A;4.9;200;18;4;Silvan Ullmann;;Köniz;ol.biel.seeland;44:25
A;4.9;200;18;5;Yves Aschwanden;;Zürich;OLG Goldau;44:38
A;4.9;200;18;6;Rico Hübscher;;Rupperswil;OLK Argus;46:36
A;4.9;200;18;7;Simon Van Binsbergen;;Knonau;OLV Zug/UBOL;46:47
A;4.9;200;18;8;Tobias Grob;;Zürich;thurgorienta / OLG Zürich;48:37
A;4.9;200;18;9;Christian Schellenberg;;Winterthur;OLK Rafzerfeld;48:47
A;4.9;200;18;10;Sven Püntener;;Altdorf UR;OLG KTV Altdorf;49:29
A;4.9;200;18;11;Emanuel Stüdeli;;Thalwil;OLG Pfäffikon;49:35
A;4.9;200;18;12;Lorenz Widmer;;Basel;bussola ok;51:09
A;4.9;200;18;13;Lea Widmer;;Umeå;OLG Zürich/Umeå OK;51:41
A;4.9;200;18;14;Florian Steiner;;Einsiedeln;OLG Goldau/Galgenen;51:42
A;4.9;200;18;15;Lukas Diener;;Bern;OLG Bern;51:52
A;4.9;200;18;16;Severin Moser;;Trin;;53:08
A;4.9;200;18;17;Andri Aebi;;Ftan;CO Engiadina/OLG Chur;53:21
A;4.9;200;18;18;Michael Meier;;Bülach;OLK Rafzerfeld;54:12
A;4.9;200;18;19;Andreas Gabriel;;Winterthur;OLC Winterthur;55:50
A;4.9;200;18;20;Matteo Favre;;Sion;CO Valais;56:07
A;4.9;200;18;21;Michael Scheurer;;Bern;OLV Marta;56:08
A;4.9;200;18;22;Leonie Mathis;;Beckenried;OLG Nidwalden+Obwalden;56:40
A;4.9;200;18;23;Lars Widmer;;Örnsköldsvik;OLG Zürich;56:42
A;4.9;200;18;24;Beatrice Aeschlimann;;Münsingen;ol norska;56:58
A;4.9;200;18;25;Cornel Weingartner;;Zürich;;58:03
A;4.9;200;18;26;Simon Guldimann;;Luzern;OLG Basel;58:08
A;4.9;200;18;27;Severin Laasch;;Wettswil am Albis;OLG Säuliamt;58:23
A;4.9;200;18;28;Gaudenz Steinlin;;Muri b. Bern;UBOL / OLG Bern;58:34
A;4.9;200;18;29;Thomas Fasel;;Bern;OLC Omström Sense;58:54
A;4.9;200;18;30;Ciro Martin;;Stans;OLG Nidwalden+Obwalden;1:00:00
A;4.9;200;18;30;Stefano Maddalena;;Bironico;O-92 Piano di Magadino;1:00:00
A;4.9;200;18;32;Martin Schild;;Gurzelen;OLG Thun;1:00:19
A;4.9;200;18;33;Michael Cantoni;;Altdorf UR;OLG KTV Altdorf;1:01:30
A;4.9;200;18;34;Dario Van Binsbergen;;Knonau;OLV Zug/UBOL;1:01:36
A;4.9;200;18;35;Daniel Hotz;;Schafisheim;OLK Argus;1:01:40
A;4.9;200;18;36;Andreas Rotach;;Sargans;OLG Chur;1:01:42
A;4.9;200;18;37;Thomas Koenig;;Zollikofen;OLG Bern;1:02:02
A;4.9;200;18;38;Oliver Lienhard;;Aarau;OLK Argus;1:02:18
A;4.9;200;18;39;Andreas Eisenring;;Fislisbach;OLG Säuliamt;1:02:28
A;4.9;200;18;40;Matej Kala;;Kralupy Nad Vltavou;SK Praga;1:02:35
A;4.9;200;18;41;Mariia Hoienko;;Zunzgen;OLV Baselland;1:02:45
A;4.9;200;18;42;Timon Aegler;;Wil SG;;1:03:13
A;4.9;200;18;43;Sebastiaan Loosen;;Zürich;OLC Kapreolo;1:03:28
A;4.9;200;18;44;Alain Astori;;Cugnasco-Gerra;O-92 Piano di Magadino;1:03:33
A;4.9;200;18;45;Brian Odermatt;;Liestal;OLG Basel;1:03:43
A;4.9;200;18;46;Jotis Raptopoulos;;Pregassona;C.O. Aget Lugano;1:04:08
A;4.9;200;18;47;Jan Béguin;;Dombresson;ANCO;1:04:30
A;4.9;200;18;48;Fabian Gisler;;Altdorf;OLG KTV Altdorf;1:05:06
A;4.9;200;18;49;André Infanger;;Altdorf UR;OLG KTV Altdorf;1:05:22
A;4.9;200;18;50;Timo Widmer;;Zürich;OLG Zürich;1:05:34
A;4.9;200;18;51;Domenico Lepori;;Mont-sur-Lausanne;GOLD Savosa;1:06:02
A;4.9;200;18;52;Elisa Bertozzi;;Comano;Gold Savosa;1:07:55
A;4.9;200;18;53;Dmitrii Menshikov;;Beckenried;OLG Nidwalden+Obwalden;1:08:58
A;4.9;200;18;54;Noemi Inderst;;Caslano;GOLD Savosa;1:09:54
A;4.9;200;18;55;Annina Bürgi;;Winterthur;OLC Winterthur;1:12:00
A;4.9;200;18;56;Thomas Wagenführ;;Davos Platz;OLG Davos;1:12:09
A;4.9;200;18;57;Robin Wülser;;Neftenbach;OLK Rafzerfeld;1:12:13
A;4.9;200;18;58;Christian Aebi;;Ftan;CO Engiadina/OLG Chur;1:12:33
A;4.9;200;18;59;Sandra Frei;;Remigen;OLV Baselland;1:13:14
A;4.9;200;18;60;Petr Gajda;;Praha 4;USK Praha;1:14:19
A;4.9;200;18;61;Jan Waldmann;;Zürich;OL Zimmerberg;1:15:09
A;4.9;200;18;62;Petr Bo?ánek;;Praha 6;USK Praha;1:15:48
A;4.9;200;18;63;Jan Gajda;;Praha;USK Praha;1:16:38
A;4.9;200;18;64;Michael Lehmann;;Winterthur;OLC Winterthur;1:18:25
A;4.9;200;18;65;Rémy Vodoz;;Zunzgen;OLV Baselland;1:19:12
A;4.9;200;18;66;Pavel Ditrych;;Thun;OL Regio Burgdorf;1:23:54
A;4.9;200;18;67;Luca Gaia;;Lamone;GOLD Savosa;1:27:21
A;4.9;200;18;68;Martin Okle;;Hunzenschwil;Cordoba OLC;1:28:40
A;4.9;200;18;69;Jonas Mattsson;;Palézieux;Rimbo SOK;1:38:38
A;4.9;200;18;70;Alessandro Beretta;;Gordevio;GOV;1:47:00
A;4.9;200;18;71;Ricarda Scherrer;;Altdorf UR;;2:03:35
A;4.9;200;18;72;Manuela Schärer;;Wabern;ol norska;2:11:54
A;4.9;200;18;73;Christoph Hollenstein, Urs Meyer;;Laufen;OLG Laufental-Thierstein/OLG Basel;2:20:53
A;4.9;200;18;;Aidan McKenna;;Beckenried;OLG Nidwalden+Obwalden;Po.f.
A;4.9;200;18;;Hansruedi Kohler;;Stein am Rhein;OLG Dachsen;Po.f.
A;4.9;200;18;;Linus Wymann;;Beckenried;OLG NOW;Po.f.
A;4.9;200;18;;Pierre Mahieu;;Orsières;Tous Azimuts Douai;Po.f.
A;4.9;200;18;;David Zürcher;;Kernenried;OL Regio Burgdorf/ol norska;aufgeg.
B1;4.0;160;16;1;Nina Gujan;;Trin Mulin;OLG Chur;53:16
B1;4.0;160;16;2;Reto Züblin;;Thun;OLG Thun;53:55
B1;4.0;160;16;3;Tiziano Boiani;;Cadenazzo;O-92 Piano di Magadino;54:18
B1;4.0;160;16;4;Christoph Stäuble;;Lachen SZ;OLG Galgenen;56:34
B1;4.0;160;16;5;Godefroy Schrago;;Bremgarten AG;;59:04
B1;4.0;160;16;6;Mirjam Gründler;;Hittnau;OLG Pfäffikon;1:00:35
B1;4.0;160;16;7;Tulla Spinelli;;Pura;SCOM Mendrisio;1:00:36
B1;4.0;160;16;8;Konrad Ehrbar;;Yverdon-les-Bains;UBOL / CO-Lausanne-Jorat;1:04:25
B1;4.0;160;16;9;Nicolas GREFF;;HAUT VALROMEY;CO Ambérieu;1:04:31
B1;4.0;160;16;10;Joshua Hückstädt;;Horgen;OL Zimmerberg;1:04:57
B1;4.0;160;16;11;Michael Steinauer;;Düdingen;;1:05:23
B1;4.0;160;16;12;Conrad Hückstädt;;Horgen;OL Zimmerberg;1:05:58
B1;4.0;160;16;13;Sonia Flückiger;;Grossdietwil;OLK Wiggertal;1:06:04
B1;4.0;160;16;14;Luca Giaonbonini;;;C.O. Aget Lugano;1:08:56
B1;4.0;160;16;15;Hanna Gathercole;;Hergiswil NW;OLG Nidwalden+Obwalden;1:09:33
B1;4.0;160;16;16;Nora Foletti;;Origlio;C.O. Aget Lugano;1:11:39
B1;4.0;160;16;17;Eva Lüscher;;Seengen;OLK Argus;1:12:02
B1;4.0;160;16;18;Nicole Hitz;;Rupperswil;OLK Argus;1:12:23
B1;4.0;160;16;19;Bernhard Zürcher;;Kernenried;OL Regio Burgdorf;1:12:24
