Kategorie;Laenge;Steigung;PoAnz;Rang;Name;Jahrgang;Ort;Club;Zeit
HE;4.5;230;18;1;Fabian Aebersold;00;Brügg BE;ol.biel.seeland;27:56
HE;4.5;230;18;2;Daniel Hubmann;83;Bremgarten b. Bern;OL Regio Wil;28:05
HE;4.5;230;18;3;Reto Egger;99;Rafz;OLK Rafzerfeld;28:48
HE;4.5;230;18;4;Tino Polsini;99;Gelterkinden;OLV Baselland;29:45
HE;4.5;230;18;5;David Baumberger;05;Zollikon;OLG Zürich;31:07
HE;4.5;230;18;6;Corsin Müller;05;Einsiedeln;OLG Galgenen/Goldau;31:37
HE;4.5;230;18;7;Martin Hubmann;89;Eschlikon TG;OL Regio Wil;33:19
HE;4.5;230;18;;Gratian Böhi;06;Horgen;OL Zimmerberg;Po.fal.
HE;4.5;230;18;;Benjamin Wey;03;Zürich;OLG Zürich;Po.fal.
DE;3.9;175;17;1;Paula Gross;96;Niederurnen;OL Zimmerberg;29:24
DE;3.9;175;17;2;Leonie Mathis;06;Beckenried;OLG Nidwalden+Obwalden;29:35
DE;3.9;175;17;3;Sanna Hotz;02;Schafisheim;OLK Argus;30:00
DE;3.9;175;17;4;Inès Berger;03;Cormondrèche;ANCO;30:00
DE;3.9;175;17;5;Anja Probst;00;Belp;OLG Bern / ol norska;30:11
DE;3.9;175;17;6;Sofie Bachmann;97;Reigoldswil;OLV Baselland;30:29
DE;3.9;175;17;7;Rachel Marxer;06;Münsingen;ol norska;34:03
DE;3.9;175;17;8;Katrin Müller;97;Zürich;OLG Rymenzburg;34:38
DE;3.9;175;17;9;Seline Sannwald;05;Bubikon;OLG Stäfa;37:22
DE;3.9;175;17;;Simona Aebersold;98;Brügg BE;ol.biel.seeland;Po.fal.
